period,zone,price_engine,price_official,diff,coherence
85,SARD,190.46,190.46,0.0,OK
86,NORD,170.46,170.46,0.0,OK
86,CNOR,170.46,170.46,0.0,OK
86,CSUD,170.46,170.46,0.0,OK
86,SUD,170.46,170.46,0.0,OK
86,CALA,170.46,170.46,0.0,OK
86,SICI,170.46,170.46,0.0,OK
86,SARD,170.46,170.46,0.0,OK
87,NORD,168.36,168.36,0.0,OK
87,CNOR,168.36,168.36,0.0,OK
87,CSUD,168.36,168.36,0.0,OK
87,SUD,168.36,168.36,0.0,OK
87,CALA,168.36,168.36,0.0,OK
87,SICI,168.36,168.36,0.0,OK
87,SARD,168.36,168.36,0.0,OK
88,NORD,163.56,163.13557,0.42,OK
88,CNOR,163.56,163.13557,0.42,OK
88,CSUD,163.56,163.13557,0.42,OK
88,SUD,163.56,163.13557,0.42,OK
88,CALA,163.56,163.13557,0.42,OK
88,SICI,163.56,163.13557,0.42,OK
88,SARD,163.56,163.13557,0.42,OK
89,NORD,165.17,165.17,0.0,OK
89,CNOR,165.17,165.17,0.0,OK
89,CSUD,165.17,165.17,0.0,OK
89,SUD,165.17,165.17,0.0,OK
89,CALA,165.17,165.17,0.0,OK
89,SICI,165.17,165.17,0.0,OK
89,SARD,165.17,165.17,0.0,OK
90,NORD,158.43,158.43,0.0,OK
90,CNOR,158.43,158.43,0.0,OK
90,CSUD,158.43,158.43,0.0,OK
90,SUD,158.43,158.43,0.0,OK
90,CALA,158.43,158.43,0.0,OK
90,SICI,158.43,158.43,0.0,OK
90,SARD,158.43,158.43,0.0,OK
91,NORD,156.44,156.44,0.0,OK
91,CNOR,158.2,158.2,0.0,OK
91,CSUD,158.2,158.2,0.0,OK
91,SUD,158.2,158.2,0.0,OK
91,CALA,158.2,158.2,0.0,OK
91,SICI,158.2,158.2,0.0,OK
91,SARD,158.2,158.2,0.0,OK
92,NORD,139.3,139.0023,0.3,OK
92,CNOR,139.3,139.0023,0.3,OK
92,CSUD,139.3,139.0023,0.3,OK
92,SUD,139.3,139.0023,0.3,OK
92,CALA,139.3,139.0023,0.3,OK
92,SICI,157.0,157.0,0.0,OK
92,SARD,139.3,139.0023,0.3,OK
93,NORD,158.2,158.2,0.0,OK
93,CNOR,158.2,158.2,0.0,OK
93,CSUD,158.2,158.2,0.0,OK
93,SUD,158.2,158.2,0.0,OK
93,CALA,158.2,158.2,0.0,OK
